model,season,rows,rmse,mae,r2
random_forest,Dry (Nov-Apr),2274,0.6447879774477213,0.46191802295271484,0.956590051636009
decision_tree,Dry (Nov-Apr),2274,0.8325755265356353,0.4940946316053285,0.9276226482599709
linear_regression,Dry (Nov-Apr),2274,1.519147153912041,1.1660005234790511,0.7590343733243756
random_forest,Wet (May-Oct),1840,0.738415189717961,0.5105127308794296,0.9335028119806061
decision_tree,Wet (May-Oct),1840,0.894140900617422,0.5107779865134461,0.9024979023080204
linear_regression,Wet (May-Oct),1840,1.4263289104531842,1.0996223316739866,0.7518916348735438
